Student Name,Student _mail id,Course,Cohort,Placed/Not Placed,CGPA,AI Tutor Usage,AI Mentor Usage,JPT Usage,Yoodli Usage
Student_1_Jul-23,student1@jan-23.spjain.edu,GCGM,Jan-24,Not Placed,2.52,High,High,Medium,None
Student_2_Jan-22,student2@jan-24.spjain.edu,GMBA,Jan-23,Not Placed,3.42,Medium,Medium,Medium,Medium
Student_3_Jan-22,student3@jan-23.spjain.edu,GMBA,Jan-24,Not Placed,3.19,Low,Low,Medium,Low
Student_4_Jan-23,student4@jan-24.spjain.edu,GCGM,Jul-24,Placed,3.75,None,High,None,None
Student_5_Jul-24,student5@jul-23.spjain.edu,MGB,Jul-22,Not Placed,2.88,None,None,None,None
Student_6_Jan-24,student6@jul-24.spjain.edu,GCGM,Jan-24,Placed,3.56,None,None,Low,High
Student_7_Jul-24,student7@jul-24.spjain.edu,GMBA,Jul-22,Placed,3.54,Medium,Medium,High,None
Student_8_Jul-24,student8@jul-23.spjain.edu,MGB,Jul-23,Not Placed,2.89,None,Medium,None,High
Student_9_Jul-23,student9@jan-23.spjain.edu,GCGM,Jan-23,Not Placed,2.77,None,High,Low,High
Student_10_Jul-22,student10@jul-24.spjain.edu,MGB,Jan-22,Placed,3.31,High,Low,None,High
Student_11_Jul-24,student11@jan-23.spjain.edu,GCGM,Jan-22,Placed,2.61,Medium,High,None,High
Student_12_Jul-22,student12@jul-24.spjain.edu,GMBA,Jan-22,Placed,3.5,Medium,Low,Medium,High
Student_13_Jan-24,student13@jan-22.spjain.edu,GMBA,Jul-24,Not Placed,3.22,High,None,Low,None
Student_14_Jul-23,student14@jul-24.spjain.edu,MGB,Jan-22,Not Placed,3.0,Medium,High,None,None
Student_15_Jan-23,student15@jan-24.spjain.edu,MGB,Jan-22,Not Placed,3.64,Medium,Low,Low,None
Student_16_Jul-23,student16@jul-24.spjain.edu,GCGM,Jan-23,Not Placed,3.84,Medium,High,None,High
Student_17_Jul-24,student17@jul-22.spjain.edu,GCGM,Jan-22,Placed,2.54,Low,High,High,None
Student_18_Jan-24,student18@jul-24.spjain.edu,MGB,Jul-23,Not Placed,3.95,None,None,Medium,None
Student_19_Jan-23,student19@jul-24.spjain.edu,GCGM,Jul-23,Placed,2.82,High,Low,Low,None
Student_20_Jan-22,student20@jul-24.spjain.edu,GCGM,Jul-23,Placed,3.21,None,Low,Low,None
Student_21_Jul-22,student21@jul-24.spjain.edu,GCGM,Jan-23,Placed,3.18,Low,None,None,None
Student_22_Jul-23,student22@jan-24.spjain.edu,GMBA,Jul-22,Placed,3.71,High,Medium,High,Medium
Student_23_Jan-22,student23@jul-24.spjain.edu,GMBA,Jan-24,Placed,2.98,Low,None,Low,Medium
Student_24_Jan-22,student24@jan-22.spjain.edu,MGB,Jul-22,Not Placed,2.75,Medium,Low,High,Low
Student_25_Jan-24,student25@jan-22.spjain.edu,GCGM,Jan-22,Not Placed,3.67,None,High,None,None
Student_26_Jan-22,student26@jul-22.spjain.edu,GCGM,Jul-24,Not Placed,3.12,High,Low,Low,Low
Student_27_Jul-24,student27@jan-23.spjain.edu,GMBA,Jul-23,Not Placed,2.86,Low,None,Low,High
Student_28_Jan-24,student28@jan-22.spjain.edu,GMBA,Jan-23,Not Placed,3.13,Low,Low,None,None
Student_29_Jan-24,student29@jan-23.spjain.edu,GMBA,Jan-24,Placed,3.2,Low,Medium,None,Low
Student_30_Jan-22,student30@jul-22.spjain.edu,GMBA,Jul-23,Not Placed,2.76,None,None,Medium,Medium
Student_31_Jul-22,student31@jul-23.spjain.edu,MGB,Jan-23,Not Placed,2.56,None,Low,Low,None
Student_32_Jul-23,student32@jan-24.spjain.edu,GCGM,Jan-22,Placed,3.58,Medium,High,Low,Medium
Student_33_Jul-22,student33@jan-22.spjain.edu,MGB,Jul-22,Placed,2.86,High,Low,High,Low
Student_34_Jan-22,student34@jul-23.spjain.edu,GMBA,Jul-23,Placed,3.84,Low,Low,High,Low
Student_35_Jul-23,student35@jan-23.spjain.edu,GCGM,Jul-23,Placed,3.45,Medium,Low,Medium,Low
Student_36_Jan-22,student36@jul-24.spjain.edu,GMBA,Jan-22,Not Placed,2.7,High,High,High,Low
Student_37_Jan-23,student37@jul-22.spjain.edu,MGB,Jan-24,Placed,3.68,Low,Low,None,High
Student_38_Jan-24,student38@jul-23.spjain.edu,GCGM,Jan-24,Not Placed,3.76,Medium,None,High,Low
Student_39_Jul-22,student39@jan-23.spjain.edu,MGB,Jan-24,Placed,3.84,Low,None,High,None
Student_40_Jan-22,student40@jul-23.spjain.edu,GMBA,Jan-24,Placed,3.14,High,High,None,High
Student_41_Jul-23,student41@jul-22.spjain.edu,GCGM,Jan-24,Placed,3.54,High,Low,Low,Medium
Student_42_Jan-23,student42@jul-22.spjain.edu,GMBA,Jan-22,Placed,3.22,Medium,Low,High,None
Student_43_Jul-23,student43@jul-23.spjain.edu,GCGM,Jul-24,Not Placed,2.78,Medium,High,None,None
Student_44_Jul-23,student44@jul-24.spjain.edu,MGB,Jan-24,Placed,2.94,Medium,Low,None,Medium
Student_45_Jul-24,student45@jan-22.spjain.edu,GMBA,Jul-24,Not Placed,3.83,None,High,Medium,High
Student_46_Jan-24,student46@jan-22.spjain.edu,MGB,Jan-23,Placed,3.47,None,Low,Low,Medium
Student_47_Jul-22,student47@jan-24.spjain.edu,GCGM,Jul-24,Not Placed,3.61,Low,Low,Medium,Medium
Student_48_Jan-23,student48@jan-24.spjain.edu,GMBA,Jul-23,Not Placed,2.58,Medium,Medium,High,High
Student_49_Jan-24,student49@jan-24.spjain.edu,GCGM,Jul-23,Not Placed,3.18,Medium,None,Low,High
Student_50_Jan-22,student50@jan-22.spjain.edu,MGB,Jul-22,Not Placed,3.94,None,None,Low,Medium
Student_51_Jan-22,student51@jul-24.spjain.edu,GCGM,Jul-23,Placed,3.81,None,Medium,High,Low
Student_52_Jul-23,student52@jan-23.spjain.edu,MGB,Jul-23,Placed,2.94,None,None,Low,Medium
Student_53_Jul-23,student53@jan-24.spjain.edu,MGB,Jul-24,Not Placed,3.23,High,High,Medium,Low
Student_54_Jan-23,student54@jul-22.spjain.edu,MGB,Jul-22,Not Placed,3.06,Medium,None,Low,Medium
Student_55_Jan-23,student55@jul-23.spjain.edu,GCGM,Jan-24,Placed,3.57,Medium,Low,Low,Low
Student_56_Jul-22,student56@jul-22.spjain.edu,GCGM,Jan-22,Not Placed,3.36,High,Medium,Medium,Low
Student_57_Jul-22,student57@jan-24.spjain.edu,GMBA,Jan-22,Not Placed,3.97,Low,Medium,High,Low
Student_58_Jan-24,student58@jan-23.spjain.edu,GCGM,Jan-22,Not Placed,3.9,Low,High,Medium,Low
Student_59_Jan-22,student59@jul-24.spjain.edu,GMBA,Jan-24,Not Placed,3.47,Medium,High,Medium,Low
Student_60_Jan-24,student60@jul-24.spjain.edu,MGB,Jan-23,Placed,3.6,None,Low,None,Medium
Student_61_Jan-22,student61@jul-23.spjain.edu,GMBA,Jul-22,Not Placed,3.04,Medium,None,Low,Low
Student_62_Jan-23,student62@jul-22.spjain.edu,GCGM,Jan-22,Not Placed,3.52,None,High,Low,High
