Student Roll No.,Student Name,Email id,Course,Cohort,Year,Term-1,Term-2,Term-3,No. of JPT Mock Interviews attempted and scored equal or above 80%,Area Head Mock Interview Score,No. of Allocated Interview Attempts,"Categorise student overall (Outstanding, Good, Average, Needs Handholding)",Placed/Not Placed,"If placed, no. of interview attempts required for placement"
SPJ20237744,Student_1_Jul-23,student1@jul-23.spjain.edu,MGB,Jul-23,2023,85.0,79.8,71.5,4,86.4,8,Average,Not Placed,0
SPJ20241781,Student_2_Jul-22,student2@jul-22.spjain.edu,GMBA,Jul-22,2024,73.4,70.5,90.0,4,82.5,6,Average,Not Placed,0
SPJ20245305,Student_3_Jan-24,student3@jan-24.spjain.edu,GCGM,Jan-24,2024,93.3,71.7,89.4,1,82.8,7,Average,Not Placed,0
SPJ20222781,Student_4_Jul-22,student4@jul-22.spjain.edu,GCGM,Jul-22,2022,75.1,75.8,93.4,3,78.6,4,Good,Placed,4
SPJ20221007,Student_5_Jan-24,student5@jan-24.spjain.edu,MGB,Jan-24,2022,81.6,75.1,94.9,2,87.4,3,Good,Not Placed,0
SPJ20227160,Student_6_Jan-22,student6@jan-22.spjain.edu,MGB,Jan-22,2022,88.8,75.9,82.8,3,75.2,6,Good,Placed,3
SPJ20223763,Student_7_Jul-22,student7@jul-22.spjain.edu,GCGM,Jul-22,2022,81.2,92.3,83.6,5,81.0,3,Good,Not Placed,0
SPJ20224874,Student_8_Jan-23,student8@jan-23.spjain.edu,GMBA,Jan-23,2022,73.5,79.9,82.8,1,77.3,5,Average,Not Placed,0
SPJ20249186,Student_9_Jul-22,student9@jul-22.spjain.edu,MGB,Jul-22,2024,76.3,72.5,81.8,1,85.4,6,Average,Not Placed,0
SPJ20229785,Student_10_Jan-24,student10@jan-24.spjain.edu,GMBA,Jan-24,2022,92.9,71.9,90.8,8,77.0,6,Good,Not Placed,0
SPJ20249049,Student_11_Jan-22,student11@jan-22.spjain.edu,GCGM,Jan-22,2024,74.8,83.0,94.3,2,85.5,5,Good,Not Placed,0
SPJ20249442,Student_12_Jul-24,student12@jul-24.spjain.edu,GMBA,Jul-24,2024,80.9,88.9,91.7,4,94.7,7,Good,Placed,1
SPJ20249922,Student_13_Jan-24,student13@jan-24.spjain.edu,GCGM,Jan-24,2024,94.9,80.2,78.5,5,89.5,8,Good,Placed,5
SPJ20239134,Student_14_Jul-24,student14@jul-24.spjain.edu,GMBA,Jul-24,2023,80.1,93.2,73.0,4,86.1,6,Good,Not Placed,0
SPJ20243800,Student_15_Jul-23,student15@jul-23.spjain.edu,GCGM,Jul-23,2024,89.5,73.7,89.8,3,89.6,6,Good,Placed,1
SPJ20249832,Student_16_Jul-22,student16@jul-22.spjain.edu,GCGM,Jul-22,2024,78.7,86.8,72.2,4,82.8,8,Average,Placed,3
SPJ20246363,Student_17_Jan-22,student17@jan-22.spjain.edu,MGB,Jan-22,2024,76.6,84.2,88.3,5,86.1,4,Good,Placed,2
SPJ20239877,Student_18_Jul-23,student18@jul-23.spjain.edu,GMBA,Jul-23,2023,88.9,93.9,83.9,7,94.3,5,Good,Placed,5
SPJ20224765,Student_19_Jan-24,student19@jan-24.spjain.edu,MGB,Jan-24,2022,93.8,73.2,93.0,5,92.6,7,Good,Not Placed,0
SPJ20236533,Student_20_Jan-24,student20@jan-24.spjain.edu,GMBA,Jan-24,2023,94.4,85.0,87.3,7,98.3,8,Good,Placed,5
SPJ20241586,Student_21_Jan-24,student21@jan-24.spjain.edu,GMBA,Jan-24,2024,83.8,71.7,72.1,3,74.9,7,Average,Not Placed,0
SPJ20234059,Student_22_Jul-24,student22@jul-24.spjain.edu,GMBA,Jul-24,2023,72.3,93.1,75.9,5,78.5,6,Good,Placed,5
SPJ20239108,Student_23_Jan-24,student23@jan-24.spjain.edu,GCGM,Jan-24,2023,76.9,89.5,94.1,3,91.2,8,Good,Not Placed,0
SPJ20233121,Student_24_Jan-24,student24@jan-24.spjain.edu,GMBA,Jan-24,2023,79.6,73.7,85.6,4,79.8,8,Average,Not Placed,0
SPJ20244890,Student_25_Jan-24,student25@jan-24.spjain.edu,MGB,Jan-24,2024,74.9,94.9,71.0,5,76.6,7,Good,Placed,2
SPJ20246437,Student_26_Jan-22,student26@jan-22.spjain.edu,MGB,Jan-22,2024,76.7,70.7,92.4,3,85.1,6,Average,Placed,5
SPJ20245396,Student_27_Jul-23,student27@jul-23.spjain.edu,GMBA,Jul-23,2024,71.0,86.8,74.2,5,70.8,8,Average,Placed,3
SPJ20243180,Student_28_Jul-22,student28@jul-22.spjain.edu,MGB,Jul-22,2024,79.8,84.8,74.9,3,86.4,7,Average,Placed,2
SPJ20246573,Student_29_Jan-24,student29@jan-24.spjain.edu,GMBA,Jan-24,2024,84.4,76.7,79.8,2,87.6,4,Good,Placed,1
SPJ20238918,Student_30_Jul-22,student30@jul-22.spjain.edu,MGB,Jul-22,2023,72.0,87.0,78.2,5,84.3,8,Average,Not Placed,0
SPJ20237062,Student_31_Jan-23,student31@jan-23.spjain.edu,GCGM,Jan-23,2023,74.2,84.4,80.1,5,74.0,8,Average,Placed,5
SPJ20247328,Student_32_Jul-22,student32@jul-22.spjain.edu,GCGM,Jul-22,2024,72.7,87.8,79.2,1,88.9,6,Average,Not Placed,0
SPJ20222965,Student_33_Jan-23,student33@jan-23.spjain.edu,GMBA,Jan-23,2022,85.2,88.9,89.3,5,94.3,4,Good,Placed,3
SPJ20246465,Student_34_Jan-24,student34@jan-24.spjain.edu,GMBA,Jan-24,2024,71.9,90.8,92.8,7,84.9,3,Good,Placed,3
SPJ20236353,Student_35_Jul-22,student35@jul-22.spjain.edu,GMBA,Jul-22,2023,89.8,72.2,79.1,4,76.5,5,Good,Placed,1
SPJ20229593,Student_36_Jul-22,student36@jul-22.spjain.edu,MGB,Jul-22,2022,75.4,74.3,85.5,2,84.8,6,Average,Not Placed,0
SPJ20232787,Student_37_Jul-22,student37@jul-22.spjain.edu,GCGM,Jul-22,2023,81.2,77.9,70.4,5,71.8,4,Average,Not Placed,0
SPJ20229580,Student_38_Jan-22,student38@jan-22.spjain.edu,MGB,Jan-22,2022,89.4,74.4,79.6,5,90.1,3,Good,Not Placed,0
SPJ20227589,Student_39_Jan-24,student39@jan-24.spjain.edu,MGB,Jan-24,2022,85.1,90.9,88.9,3,83.7,4,Good,Placed,3
SPJ20239297,Student_40_Jul-22,student40@jul-22.spjain.edu,GCGM,Jul-22,2023,83.9,92.8,89.4,6,79.9,5,Good,Not Placed,0
SPJ20249869,Student_41_Jul-23,student41@jul-23.spjain.edu,MGB,Jul-23,2024,81.1,77.5,74.2,4,81.7,7,Average,Placed,3
SPJ20243111,Student_42_Jan-23,student42@jan-23.spjain.edu,GMBA,Jan-23,2024,84.7,94.1,89.9,5,95.3,7,Good,Placed,5
SPJ20221702,Student_43_Jan-24,student43@jan-24.spjain.edu,MGB,Jan-24,2022,94.2,90.3,80.7,5,78.9,3,Good,Not Placed,0
SPJ20232896,Student_44_Jan-23,student44@jan-23.spjain.edu,GCGM,Jan-23,2023,86.0,84.7,92.0,3,96.7,4,Good,Not Placed,0
SPJ20223984,Student_45_Jan-23,student45@jan-23.spjain.edu,MGB,Jan-23,2022,75.2,78.1,82.0,5,72.5,8,Average,Not Placed,0
SPJ20239038,Student_46_Jan-22,student46@jan-22.spjain.edu,GMBA,Jan-22,2023,77.6,91.3,83.1,4,81.7,7,Good,Not Placed,0
SPJ20243452,Student_47_Jul-23,student47@jul-23.spjain.edu,GCGM,Jul-23,2024,94.8,75.6,81.2,4,88.2,5,Good,Not Placed,0
SPJ20229615,Student_48_Jan-22,student48@jan-22.spjain.edu,GMBA,Jan-22,2022,79.2,82.9,88.5,2,91.9,5,Good,Placed,1
SPJ20241116,Student_49_Jul-22,student49@jul-22.spjain.edu,GCGM,Jul-22,2024,83.6,90.4,88.4,4,94.2,4,Good,Placed,2
SPJ20243623,Student_50_Jan-23,student50@jan-23.spjain.edu,GMBA,Jan-23,2024,72.3,79.4,70.2,0,74.4,6,Needs Handholding,Not Placed,0
SPJ20243899,Student_51_Jul-24,student51@jul-24.spjain.edu,GCGM,Jul-24,2024,81.6,70.6,74.1,4,73.5,8,Average,Placed,4
SPJ20231535,Student_52_Jan-23,student52@jan-23.spjain.edu,GCGM,Jan-23,2023,81.6,76.5,94.3,5,86.7,6,Good,Placed,2
SPJ20247430,Student_53_Jul-22,student53@jul-22.spjain.edu,MGB,Jul-22,2024,72.3,90.4,91.4,4,82.3,8,Good,Placed,1
SPJ20224559,Student_54_Jan-24,student54@jan-24.spjain.edu,GCGM,Jan-24,2022,88.0,94.0,86.1,4,80.6,8,Good,Placed,4
SPJ20247749,Student_55_Jul-24,student55@jul-24.spjain.edu,GMBA,Jul-24,2024,94.2,93.9,93.2,5,87.4,4,Outstanding,Placed,2
SPJ20243357,Student_56_Jan-22,student56@jan-22.spjain.edu,GCGM,Jan-22,2024,80.7,78.2,91.3,1,86.2,4,Average,Not Placed,0
SPJ20236047,Student_57_Jul-22,student57@jul-22.spjain.edu,GCGM,Jul-22,2023,86.3,87.6,76.1,5,90.4,7,Good,Placed,5
SPJ20226449,Student_58_Jul-23,student58@jul-23.spjain.edu,MGB,Jul-23,2022,82.2,86.1,88.4,6,80.0,6,Good,Placed,1
SPJ20248189,Student_59_Jan-23,student59@jan-23.spjain.edu,MGB,Jan-23,2024,90.3,89.4,85.3,8,80.6,6,Good,Not Placed,0
SPJ20249634,Student_60_Jul-22,student60@jul-22.spjain.edu,GCGM,Jul-22,2024,74.4,71.7,71.4,1,75.8,7,Average,Not Placed,0
SPJ20229502,Student_61_Jul-24,student61@jul-24.spjain.edu,MGB,Jul-24,2022,75.4,87.7,90.4,2,86.1,7,Good,Not Placed,0
SPJ20221889,Student_62_Jul-22,student62@jul-22.spjain.edu,GCGM,Jul-22,2022,70.7,86.9,94.3,2,89.8,6,Good,Not Placed,0
SPJ20229497,Student_63_Jul-22,student63@jul-22.spjain.edu,GMBA,Jul-22,2022,70.9,71.1,89.0,4,79.2,8,Average,Not Placed,0
SPJ20246855,Student_64_Jan-24,student64@jan-24.spjain.edu,GMBA,Jan-24,2024,81.0,87.1,87.3,8,89.2,5,Good,Not Placed,0
SPJ20244871,Student_65_Jul-22,student65@jul-22.spjain.edu,GCGM,Jul-22,2024,83.4,93.1,90.0,3,82.9,5,Good,Not Placed,0
SPJ20223670,Student_66_Jul-24,student66@jul-24.spjain.edu,MGB,Jul-24,2022,90.4,91.4,84.3,3,87.9,5,Good,Not Placed,0
SPJ20246705,Student_67_Jul-24,student67@jul-24.spjain.edu,GCGM,Jul-24,2024,92.5,91.7,70.6,2,87.8,4,Good,Not Placed,0
SPJ20221080,Student_68_Jan-22,student68@jan-22.spjain.edu,GMBA,Jan-22,2022,77.6,81.9,86.3,5,75.8,7,Good,Not Placed,0
SPJ20233486,Student_69_Jul-23,student69@jul-23.spjain.edu,GMBA,Jul-23,2023,72.1,87.2,82.5,5,89.9,4,Good,Placed,2
SPJ20222462,Student_70_Jul-22,student70@jul-22.spjain.edu,GCGM,Jul-22,2022,73.0,87.2,87.5,4,80.7,8,Good,Placed,1
SPJ20236618,Student_71_Jan-22,student71@jan-22.spjain.edu,GCGM,Jan-22,2023,80.1,73.2,74.5,1,78.3,3,Average,Not Placed,0
SPJ20248068,Student_72_Jul-24,student72@jul-24.spjain.edu,GMBA,Jul-24,2024,89.0,93.3,74.9,7,90.7,4,Good,Placed,2
SPJ20223885,Student_73_Jan-23,student73@jan-23.spjain.edu,MGB,Jan-23,2022,83.4,86.5,81.4,3,89.3,3,Good,Placed,2
SPJ20236351,Student_74_Jan-22,student74@jan-22.spjain.edu,GCGM,Jan-22,2023,70.6,84.0,79.9,5,70.9,5,Average,Not Placed,0
SPJ20246733,Student_75_Jul-22,student75@jul-22.spjain.edu,GCGM,Jul-22,2024,77.2,73.2,91.0,5,74.3,5,Good,Not Placed,0
SPJ20229135,Student_76_Jul-23,student76@jul-23.spjain.edu,GMBA,Jul-23,2022,90.3,88.4,70.0,2,87.2,7,Good,Placed,2
SPJ20227346,Student_77_Jan-22,student77@jan-22.spjain.edu,GCGM,Jan-22,2022,94.2,73.0,76.9,4,90.1,7,Good,Placed,3
SPJ20227921,Student_78_Jul-22,student78@jul-22.spjain.edu,MGB,Jul-22,2022,91.2,76.5,71.9,2,70.4,6,Average,Not Placed,0
SPJ20248065,Student_79_Jan-23,student79@jan-23.spjain.edu,GCGM,Jan-23,2024,74.0,75.8,82.4,1,70.7,7,Average,Placed,1
SPJ20223598,Student_80_Jan-24,student80@jan-24.spjain.edu,MGB,Jan-24,2022,80.3,73.2,91.5,5,84.7,3,Good,Placed,2
SPJ20247644,Student_81_Jul-24,student81@jul-24.spjain.edu,GMBA,Jul-24,2024,70.2,87.5,91.7,1,78.1,3,Average,Placed,2
SPJ20247094,Student_82_Jan-24,student82@jan-24.spjain.edu,MGB,Jan-24,2024,81.3,80.6,89.7,5,75.1,6,Good,Placed,3
SPJ20222811,Student_83_Jul-23,student83@jul-23.spjain.edu,MGB,Jul-23,2022,93.6,76.3,91.0,4,93.7,5,Good,Placed,1
SPJ20224765,Student_84_Jan-24,student84@jan-24.spjain.edu,GCGM,Jan-24,2022,89.2,89.9,82.9,3,81.5,8,Good,Not Placed,0
SPJ20237000,Student_85_Jul-23,student85@jul-23.spjain.edu,GCGM,Jul-23,2023,76.9,93.6,82.2,4,84.6,7,Good,Placed,1
SPJ20221695,Student_86_Jan-22,student86@jan-22.spjain.edu,MGB,Jan-22,2022,84.8,91.7,72.7,3,87.2,6,Good,Placed,5
SPJ20225514,Student_87_Jul-23,student87@jul-23.spjain.edu,MGB,Jul-23,2022,76.2,81.5,75.7,1,87.2,5,Average,Placed,5
SPJ20229652,Student_88_Jan-23,student88@jan-23.spjain.edu,MGB,Jan-23,2022,90.0,74.4,87.6,1,74.3,6,Average,Placed,5
SPJ20234282,Student_89_Jan-23,student89@jan-23.spjain.edu,GMBA,Jan-23,2023,80.6,80.7,76.3,1,73.3,7,Average,Placed,2
SPJ20222293,Student_90_Jul-23,student90@jul-23.spjain.edu,GMBA,Jul-23,2022,90.6,93.0,81.0,5,94.9,6,Good,Placed,2
SPJ20227602,Student_91_Jan-24,student91@jan-24.spjain.edu,MGB,Jan-24,2022,83.1,90.8,87.5,6,77.5,3,Good,Not Placed,0
SPJ20228956,Student_92_Jul-23,student92@jul-23.spjain.edu,MGB,Jul-23,2022,77.8,78.3,84.7,1,86.2,3,Average,Not Placed,0
SPJ20222113,Student_93_Jul-23,student93@jul-23.spjain.edu,GMBA,Jul-23,2022,92.8,70.9,88.7,3,85.9,7,Good,Not Placed,0
SPJ20242077,Student_94_Jan-24,student94@jan-24.spjain.edu,GMBA,Jan-24,2024,91.4,85.8,76.7,1,81.0,8,Average,Not Placed,0
SPJ20227471,Student_95_Jul-22,student95@jul-22.spjain.edu,MGB,Jul-22,2022,76.4,85.2,70.9,5,73.5,7,Average,Not Placed,0
SPJ20237262,Student_96_Jan-24,student96@jan-24.spjain.edu,GMBA,Jan-24,2023,86.0,86.2,75.0,5,81.2,3,Good,Not Placed,0
SPJ20248946,Student_97_Jan-24,student97@jan-24.spjain.edu,GMBA,Jan-24,2024,77.3,80.3,79.6,1,72.0,6,Average,Placed,1
SPJ20239444,Student_98_Jan-24,student98@jan-24.spjain.edu,MGB,Jan-24,2023,76.2,90.8,89.1,6,79.0,8,Good,Not Placed,0
SPJ20243705,Student_99_Jan-24,student99@jan-24.spjain.edu,GMBA,Jan-24,2024,77.2,84.2,72.8,5,77.0,3,Average,Placed,2
SPJ20223594,Student_100_Jul-24,student100@jul-24.spjain.edu,MGB,Jul-24,2022,70.7,81.7,82.9,5,85.3,3,Average,Placed,1
SPJ20242371,Student_101_Jul-24,student101@jul-24.spjain.edu,GMBA,Jul-24,2024,70.7,90.1,85.7,1,89.1,7,Average,Not Placed,0
SPJ20242834,Student_102_Jan-23,student102@jan-23.spjain.edu,GCGM,Jan-23,2024,87.5,85.4,82.8,7,92.9,7,Good,Placed,2
SPJ20229955,Student_103_Jul-23,student103@jul-23.spjain.edu,GCGM,Jul-23,2022,88.3,83.4,85.6,5,94.3,7,Good,Placed,1
SPJ20238214,Student_104_Jan-23,student104@jan-23.spjain.edu,MGB,Jan-23,2023,83.4,74.0,73.0,3,77.2,8,Average,Not Placed,0
SPJ20236246,Student_105_Jan-23,student105@jan-23.spjain.edu,GMBA,Jan-23,2023,93.3,83.5,71.5,1,78.0,3,Average,Not Placed,0
SPJ20222376,Student_106_Jul-24,student106@jul-24.spjain.edu,MGB,Jul-24,2022,90.7,74.5,74.7,5,71.7,7,Average,Not Placed,0
SPJ20233464,Student_107_Jan-24,student107@jan-24.spjain.edu,GCGM,Jan-24,2023,86.9,84.8,89.8,7,90.5,7,Good,Not Placed,0
SPJ20236810,Student_108_Jul-24,student108@jul-24.spjain.edu,MGB,Jul-24,2023,84.5,95.0,93.3,6,94.2,3,Outstanding,Placed,3
SPJ20225065,Student_109_Jul-24,student109@jul-24.spjain.edu,GCGM,Jul-24,2022,76.5,89.8,89.8,6,77.6,6,Good,Placed,5
SPJ20237523,Student_110_Jul-23,student110@jul-23.spjain.edu,GCGM,Jul-23,2023,86.9,90.2,83.8,4,83.6,6,Good,Placed,4
SPJ20245338,Student_111_Jan-23,student111@jan-23.spjain.edu,GCGM,Jan-23,2024,71.1,85.1,80.5,3,85.6,6,Average,Placed,2
SPJ20223332,Student_112_Jul-23,student112@jul-23.spjain.edu,GMBA,Jul-23,2022,76.6,82.8,73.8,4,68.0,7,Average,Placed,4
SPJ20244637,Student_113_Jan-23,student113@jan-23.spjain.edu,GCGM,Jan-23,2024,89.0,90.6,80.2,7,87.5,3,Good,Placed,3
SPJ20239637,Student_114_Jan-24,student114@jan-24.spjain.edu,MGB,Jan-24,2023,83.3,82.5,85.4,4,76.5,5,Good,Placed,2
SPJ20242850,Student_115_Jan-24,student115@jan-24.spjain.edu,MGB,Jan-24,2024,71.7,70.6,90.8,1,73.7,4,Average,Not Placed,0
SPJ20222768,Student_116_Jul-24,student116@jul-24.spjain.edu,GMBA,Jul-24,2022,78.9,88.9,85.0,2,94.2,4,Good,Not Placed,0
SPJ20232546,Student_117_Jul-22,student117@jul-22.spjain.edu,GCGM,Jul-22,2023,88.0,92.4,78.5,4,77.2,5,Good,Placed,5
SPJ20242595,Student_118_Jan-23,student118@jan-23.spjain.edu,MGB,Jan-23,2024,70.5,74.1,92.7,3,84.1,6,Average,Placed,1
SPJ20242035,Student_119_Jan-23,student119@jan-23.spjain.edu,MGB,Jan-23,2024,70.8,74.8,77.2,0,80.0,6,Needs Handholding,Not Placed,0
SPJ20239955,Student_120_Jul-24,student120@jul-24.spjain.edu,MGB,Jul-24,2023,92.4,93.3,71.6,7,78.3,5,Good,Placed,5
SPJ20242304,Student_121_Jan-22,student121@jan-22.spjain.edu,GMBA,Jan-22,2024,83.5,92.7,70.1,4,81.3,7,Good,Placed,3
SPJ20235342,Student_122_Jan-23,student122@jan-23.spjain.edu,MGB,Jan-23,2023,82.9,94.9,89.7,5,91.6,6,Good,Not Placed,0
SPJ20248214,Student_123_Jul-23,student123@jul-23.spjain.edu,GMBA,Jul-23,2024,86.6,85.4,92.9,8,97.8,6,Good,Not Placed,0
SPJ20231807,Student_124_Jan-24,student124@jan-24.spjain.edu,MGB,Jan-24,2023,84.2,87.2,91.7,5,84.5,5,Good,Not Placed,0
SPJ20247250,Student_125_Jan-22,student125@jan-22.spjain.edu,GCGM,Jan-22,2024,73.4,85.0,74.5,4,87.5,4,Average,Not Placed,0
SPJ20237469,Student_126_Jan-22,student126@jan-22.spjain.edu,GMBA,Jan-22,2023,72.8,81.9,80.6,1,73.0,7,Average,Not Placed,0
SPJ20231914,Student_127_Jul-23,student127@jul-23.spjain.edu,GCGM,Jul-23,2023,76.2,94.4,86.2,3,85.9,5,Good,Placed,5
SPJ20225099,Student_128_Jul-23,student128@jul-23.spjain.edu,MGB,Jul-23,2022,71.2,84.9,86.3,3,86.9,5,Good,Placed,5
SPJ20238125,Student_129_Jan-22,student129@jan-22.spjain.edu,GCGM,Jan-22,2023,93.0,95.0,87.1,5,97.4,8,Outstanding,Not Placed,0
SPJ20239028,Student_130_Jul-23,student130@jul-23.spjain.edu,MGB,Jul-23,2023,71.3,89.7,76.6,1,85.6,5,Average,Placed,3
SPJ20247965,Student_131_Jan-23,student131@jan-23.spjain.edu,MGB,Jan-23,2024,92.3,84.3,89.6,5,94.1,4,Good,Placed,1
SPJ20236513,Student_132_Jul-22,student132@jul-22.spjain.edu,GCGM,Jul-22,2023,76.5,80.1,79.5,2,85.8,4,Average,Not Placed,0
SPJ20227971,Student_133_Jan-23,student133@jan-23.spjain.edu,GMBA,Jan-23,2022,72.7,85.8,85.1,3,75.8,3,Good,Placed,3
SPJ20228765,Student_134_Jul-22,student134@jul-22.spjain.edu,GCGM,Jul-22,2022,74.4,77.4,94.1,4,80.5,6,Good,Not Placed,0
SPJ20222637,Student_135_Jul-23,student135@jul-23.spjain.edu,MGB,Jul-23,2022,89.1,85.3,79.8,1,76.3,5,Average,Not Placed,0
SPJ20241245,Student_136_Jan-23,student136@jan-23.spjain.edu,GCGM,Jan-23,2024,90.4,76.3,89.9,8,83.3,3,Good,Placed,3
SPJ20246871,Student_137_Jul-23,student137@jul-23.spjain.edu,GCGM,Jul-23,2024,82.9,79.9,87.8,5,76.1,3,Good,Placed,3
SPJ20232247,Student_138_Jan-22,student138@jan-22.spjain.edu,MGB,Jan-22,2023,81.2,94.9,80.2,5,92.5,8,Good,Not Placed,0
SPJ20226664,Student_139_Jul-24,student139@jul-24.spjain.edu,GCGM,Jul-24,2022,93.0,71.3,83.2,2,87.2,6,Good,Placed,4
SPJ20249422,Student_140_Jan-24,student140@jan-24.spjain.edu,GMBA,Jan-24,2024,79.6,88.8,71.2,5,76.9,8,Average,Placed,3
SPJ20221772,Student_141_Jan-23,student141@jan-23.spjain.edu,GCGM,Jan-23,2022,73.1,83.9,88.8,5,78.4,5,Good,Placed,3
SPJ20232256,Student_142_Jul-24,student142@jul-24.spjain.edu,GCGM,Jul-24,2023,76.4,86.3,77.1,4,76.7,4,Average,Not Placed,0
SPJ20229048,Student_143_Jul-22,student143@jul-22.spjain.edu,GCGM,Jul-22,2022,73.9,87.8,81.2,5,83.3,8,Good,Not Placed,0
SPJ20243725,Student_144_Jan-24,student144@jan-24.spjain.edu,GMBA,Jan-24,2024,90.4,72.1,81.0,4,86.4,4,Good,Not Placed,0
SPJ20229894,Student_145_Jul-22,student145@jul-22.spjain.edu,MGB,Jul-22,2022,74.8,90.8,83.5,2,89.4,6,Good,Placed,1
SPJ20244760,Student_146_Jan-22,student146@jan-22.spjain.edu,GCGM,Jan-22,2024,89.6,94.1,90.7,5,88.0,8,Outstanding,Placed,4
SPJ20241193,Student_147_Jul-24,student147@jul-24.spjain.edu,MGB,Jul-24,2024,82.6,73.6,85.6,2,77.2,4,Good,Not Placed,0
SPJ20247962,Student_148_Jul-24,student148@jul-24.spjain.edu,GCGM,Jul-24,2024,88.5,82.9,87.9,6,85.2,7,Good,Placed,1
